Date,Close,Delta
1/2/2013,13.4,
1/4/2013,13.48986,0.08986
1/6/2013,13.52999,0.04013
1/8/2013,13.83,0.30001
1/10/2013,14.32,0.49
1/12/2013,14.34999,0.02999
1/14/2013,14.3,-0.04999
1/16/2013,14.689,0.389
1/18/2013,15.985,1.296
1/20/2013,15.89,-0.095
1/22/2013,17.59,1.7
1/24/2013,19.18999,1.59999
1/26/2013,17.61926,-1.57073
1/28/2013,18.45,0.83074
1/30/2013,19.7,1.25
2/1/2013,21.3,1.6
2/3/2013,20.68,-0.62
2/5/2013,20.79,0.11
2/7/2013,22.15,1.36
2/9/2013,23.69997,1.54997
2/11/2013,24.1955,0.49553
2/13/2013,26.09999,1.90449
2/15/2013,26.99898,0.89899
2/17/2013,25.6083,-1.39068
2/19/2013,28.78999,3.18169
2/21/2013,29.80012,1.01013
2/23/2013,29.27998,-0.52014
2/25/2013,30.25001,0.97003
2/27/2013,31.40181,1.1518
3/1/2013,34.87799,3.47618
3/3/2013,34.10007,-0.77792
3/5/2013,40.04,5.93993
3/7/2013,42.49271,2.45271
3/9/2013,46.01112,3.51841
3/11/2013,47.7397,1.72858
3/13/2013,46.79999,-0.93971
3/15/2013,47.25005,0.45006
3/17/2013,47.4419,0.19185
3/19/2013,57.76,10.3181
3/21/2013,73.8,16.04
3/23/2013,63,-10.8
3/25/2013,73.88798,10.88798
3/27/2013,88.9,15.01202
3/29/2013,89.05,0.15
3/31/2013,92.50001,3.45001
4/2/2013,108.73,16.22999
4/4/2013,131.99899,23.26899
4/6/2013,142.49765,10.49866
4/8/2013,184,41.50235
4/10/2013,198,14
4/12/2013,76.488,-121.512
4/14/2013,91,14.512
4/16/2013,91,0
4/18/2013,96.5,5.5
4/20/2013,123.86,27.36
4/22/2013,123.515,-0.345
4/24/2013,153.20019,29.68519
4/26/2013,135.601,-17.59919
4/28/2013,135.98999,0.38899
4/30/2013,139.109,3.11901
5/2/2013,105.00003,-34.10897
5/4/2013,111.98979,6.98976
5/6/2013,120.94999,8.9602
5/8/2013,113.95001,-6.99998
5/10/2013,117.68,3.72999
5/12/2013,114.32,-3.36
5/14/2013,119,4.68
5/16/2013,115.09024,-3.90976
5/18/2013,123.74995,8.65971
5/20/2013,122.65001,-1.09994
5/22/2013,122.64,-0.01001
5/24/2013,131.5,8.86
5/26/2013,134.04701,2.54701
5/28/2013,128.321,-5.72601
5/30/2013,130.99589,2.67489
6/1/2013,129.19945,-1.79644
